METRO STATION ,Distance,Time B/w Stations (IN MINS),Stoppage Time(In secs)
RED LINE ,,,
Shaheed Sthal(New Bus Adda),0,,1.2
Hindon River,1.05,1.51,22
Arthala,1.5,2.32,16
Mohan Nagar,0.78,1.22,20
Shyam park,1.33,2.2,14
Major Mohit Sharma,1.17,2.04,18
Raj Bagh,1.15,2.1,19
Shaheed Nagar,1.25,2.11,21
Dilshad Garden,1.2,2.06,13
Jhil Mil,0.9,1.34,15
Mansarovar Park,1.12,1.57,14
Shahdara,1.12,1.57,17
Welcome(Conn PINK LINE),1.2,2.06,33
Seelampur,1.1,1.55,16
Shastri Park,1.67,2.55,24
Kashmere Gate(CONN VIOLET AND YELLOW LINE ),2.34,4.06,26
Tis Hazari,1.14,1.46,14
Pul Bangash,0.95,1.4,15
Pratap Nagar,0.86,1.26,15
Shastri Nagar,1.72,2.08,15
Inderlok(Conn GREEN LINE),1.2,1.49,22
Kanhaiya Nagar,1.12,1.47,19
Keshav Puram,0.765,1.22,16
Netaji Subash Place(CONN PINK LINE),1.48,2.13,20
Kohat Enclave,1.27,2.01,19
Pitam Pura,0.975,1.42,14
Rohini East,0.8,1.2,17
Rohini West,1.3,2.16,23
Rithala,1.14,2,40
,,,
,,,
YELLOW LINE,,,
Samaypur Badli,0,,2.58
Rohini Sector 18-19,0.9,1.13,23
Haiderpur Badli Mor,1.86,2.32,31
Jahangirpuri,1.8,2.27,15
Adarsh Nagar,1.3,1.46,19
Azadpur(Conn PINK LINE),1.47,2.2,39
Model Town,1.4,1.54,23
Guru Tegh Bahadur Nagar,1.29,1.45,27
Vishwavidyalaya,0.925,1.15,18
Vidhan Sabha,1.28,1.51,17
Civil Lines,1.16,1.3,18
Kashmere Gate(CONN VIOLET AND Red LINE ),1.2,2.14,20
Chandni Chowk,1.1,1.38,17
Chawri Bazar,1.2,1.18,17
New Delhi(Conn Orange LINE),0.8,3.47,40
Rajiv Chowk(CONN BLUE LINE),1.38,1.53,1.5
Patel Chowk,1.3,1.41,13
Central Secretariat(CONN VIOLET LINE),1.03,2.32,15
Udyog Bhawan,0.483,1.28,15
Lok Kalyan Marg,1.48,1.51,18
Jorbagh,1.35,1.48,1.13
Dilli Haat INA(Conn PINK LINE),1.3,2.02,20
AIIMS,0.8,1.26,18
Green Park,1.2,1.37,47
Hauz Khas(Conn Magenta Line),1.85,2.05,18
Malviya Nagar,1.73,2.21,20
Saket,0.95,1.17,22
Qutab Minar,1.91,2.36,29
Chhattarpur,1.36,1.51,23
Sultanpur,1.6,2.1,15
Ghitorni,1.35,1.5,19
Arjan Garh,2.72,3.42,29
Guru Dronacharya,2.5,3.24,21
Sikandarpur(Conn Rapid Metro),1,1.21,36
MG Road,1.3,1.46,19
