from,to,Distance in meter,Time B/w Stations in sec
Shaheed Sthal(New Bus Adda),Hindon River,1050,111
Hindon River,Arthala,1500,152
Arthala,Mohan Nagar,780,82
Mohan Nagar,Shyam park,1330,140
Shyam park,Major Mohit Sharma,1170,124
Major Mohit Sharma,Raj Bagh,1150,130
Raj Bagh,Shaheed Nagar,1250,131
Shaheed Nagar,Dilshad Garden,1200,126
Dilshad Garden,Jhil Mil,900,94
Jhil Mil,Mansarovar Park,1120,117
Mansarovar Park,Shahdara,1120,117
Shahdara,Welcome,1200,126
Welcome,Seelampur,1100,115
Seelampur,Shastri Park,1670,175
Shastri Park,Kashmere Gate,2340,246
Kashmere Gate,Tis Hazari,1140,106
Tis Hazari,Pul Bangash,950,100
Pul Bangash,Pratap Nagar,860,86
Pratap Nagar,Shastri Nagar,1720,128
Shastri Nagar,Inderlok,1200,109
Inderlok,Kanhaiya Nagar,1120,107
Kanhaiya Nagar,Keshav Puram,765,82
Keshav Puram,Netaji Subash Place,1480,133
Netaji Subash Place,Kohat Enclave,1270,121
Kohat Enclave,Pitam Pura,975,102
Pitam Pura,Rohini East,800,80
Rohini East,Rohini West,1300,136
Rohini West,Rithala,1140,120
Samaypur Badli,Rohini Sector 18-19,900,73
Rohini Sector 18-19,Haiderpur Badli Mor,1860,152
Haiderpur Badli Mor,Jahangirpuri,1800,147
Jahangirpuri,Adarsh Nagar,1300,106
Adarsh Nagar,Azadpur,1470,140
Azadpur,Model Town,1400,114
Model Town,Guru Tegh Bahadur Nagar,1290,105
Guru Tegh Bahadur Nagar,Vishwavidyalaya,925,75
Vishwavidyalaya,Vidhan Sabha,1280,111
Vidhan Sabha,Civil Lines,1160,90
Civil Lines,Kashmere Gate,1200,134
Kashmere Gate,Chandni Chowk,1100,98
Chandni Chowk,Chawri Bazar,1200,78
Chawri Bazar,New Delhi,800,227
New Delhi,Rajiv Chowk,1380,113
Rajiv Chowk,Patel Chowk,1300,101
Patel Chowk,Central Secretariat,1030,152
Central Secretariat,Udyog Bhawan,483,88
Udyog Bhawan,Lok Kalyan Marg,1480,111
Lok Kalyan Marg,Jorbagh,1350,108
Jorbagh,Dilli Haat INA,1300,122
Dilli Haat INA,AIIMS,800,86
AIIMS,Green Park,1200,97
Green Park,Hauz Khas,1850,125
Hauz Khas,Malviya Nagar,1730,141
Malviya Nagar,Saket,950,77
Saket,Qutab Minar,1910,156
Qutab Minar,Chhattarpur,1360,111
Chhattarpur,Sultanpur,1600,130
Sultanpur,Ghitorni,1350,110
Ghitorni,Arjan Garh,2720,222
Arjan Garh,Guru Dronacharya,2500,204
Guru Dronacharya,Sikandarpur,1000,81
Sikandarpur,MG Road,1300,106
MG Road,IFFCO Chowk,1400,114
IFFCO Chowk,Huda City Centre,1620,132
Noida Electronic City,Noida Sector 62,1300,125
Noida Sector 62,Noida Sector 59,1200,99
Noida Sector 59,Noida Sector 61,1000,87
Noida Sector 61,Noida Sector 52,1400,117
Noida Sector 52,Noida Sector 34,1200,104
Noida Sector 34,Noida City Centre,950,82
Noida City Centre,Golf Course,1300,113
Golf Course,Botanical Garden,1450,126
Botanical Garden,Noida Sect 18,1100,95
Noida Sect 18,Noida Sect 16,1200,104
Noida Sect 16,Noida Sect 15,1000,87
Noida Sect 15,New Ashok Nagar,1100,95
New Ashok Nagar,Mayur Vihar Ext,1060,92
Mayur Vihar Ext,Mayur Vihar-I,1200,104
Mayur Vihar-I,Akshardham,1900,165
Akshardham,Yamuna Bank,1590,138
Yamuna Bank,Indraprastha,1830,158
Indraprastha,Supreme Court,800,108
Supreme Court,Mandi House,1000,132
Mandi House,Barakhamba,1000,100
Barakhamba,Rajiv Chowk,700,115
Rajiv Chowk,RK Ashram Marg,1200,104
RK Ashram Marg,Jhandewalan,1030,89
Jhandewalan,Karol Bagh,1200,104
Karol Bagh,Rajendra Place,1000,87
Rajendra Place,Patel Nagar,978,85
Patel Nagar,Shadi Pur,1300,113
Shadi Pur,Kirti Nagar,860,54
Kirti Nagar,Moti Nagar,1000,98
Moti Nagar,Ramesh Nagar,1240,98
Ramesh Nagar,Rajouri Garden,1000,104
Rajouri Garden,Tagore Garden,1100,99
Tagore Garden,Subash Nagar,900,79
Subash Nagar,Tilak Nagar,947,87
Tilak Nagar,Janak Puri East,1000,97
Janak Puri East,Janak Puri West,1000,89
Janak Puri West,Uttam Nagar East,1300,117
Uttam Nagar East,Uttam Nagar West,1000,64
Uttam Nagar West,Nawada,1070,93
Nawada,Dwaraka Mor,1200,99
Dwaraka Mor,Dwarka,1400,115
Dwarka,Dwarka Sector - 14,1540,127
Dwarka Sector - 14,Dwarka Sector - 13,900,83
Dwarka Sector - 13,Dwarka Sector - 12,915,82
Dwarka Sector - 12,Dwarka Sector - 11,1100,84
Dwarka Sector - 11,Dwarka Sector - 10,1000,86
Dwarka Sector - 10,Dwarka Sector - 9,1100,94
Dwarka Sector - 9,Dwarka Sector - 8,1000,30
Dwarka Sector - 8,Dwarka Sector - 21,1850,144
Yamuna Bank,Laxmi Nagar,1300,118
Laxmi Nagar,Nirman Vihar,1130,103
Nirman Vihar,Preet Vihar,1000,87
Preet Vihar,Karkar Duma,1200,112
Karkar Duma,Anand Vihar,1100,95
Anand Vihar,Kaushambi,870,82
Kaushambi,Vaishali,1720,123
New Delhi-Airport Express,Shivaji Stadium,2000,97
