Station Name,Lines,Stoppage Time in Seconds
Shaheed Sthal(New Bus Adda),red,80
Hindon River,red,1320
Arthala,red,960
Mohan Nagar,red,1200
Shyam park,red,840
Major Mohit Sharma,red,1080
Raj Bagh,red,1140
Shaheed Nagar,red,1260
Dilshad Garden,red,780
Jhil Mil,red,900
Mansarovar Park,red,840
Shahdara,red,1020
Welcome,"red,pink",1980
Seelampur,red,960
Shastri Park,red,1440
Kashmere Gate,"red,violet,yellow",1560
Tis Hazari,red,840
Pul Bangash,red,900
Pratap Nagar,red,900
Shastri Nagar,red,900
Inderlok,"red,green",1320
Kanhaiya Nagar,red,1140
Keshav Puram,red,960
Netaji Subash Place,"red,pink",1200
Kohat Enclave,red,1140
Pitam Pura,red,840
Rohini East,red,1020
Rohini West,red,1380
Rithala,red,2400
Samaypur Badli,yellow,178
Rohini Sector 18-19,yellow,1380
Haiderpur Badli Mor,yellow,1860
Jahangirpuri,yellow,900
Adarsh Nagar,yellow,1140
Azadpur,"yellow,pink",2340
Model Town,yellow,1380
Guru Tegh Bahadur Nagar,yellow,1620
Vishwavidyalaya,yellow,1080
Vidhan Sabha,yellow,1020
Civil Lines,yellow,1080
Chandni Chowk,yellow,1020
Chawri Bazar,yellow,1020
New Delhi,"yellow,orange",2400
Rajiv Chowk,"yellow,blue",110
Patel Chowk,yellow,780
Central Secretariat,"yellow,violet",900
Udyog Bhawan,yellow,900
Lok Kalyan Marg,yellow,1080
Jorbagh,yellow,73
Dilli Haat INA,"yellow,pink",1200
AIIMS,yellow,1080
Green Park,yellow,2820
Hauz Khas,"yellow,magenta",1080
Malviya Nagar,yellow,1200
Saket,yellow,1320
Qutab Minar,yellow,1740
Chhattarpur,yellow,1380
Sultanpur,yellow,900
Ghitorni,yellow,1140
Arjan Garh,yellow,1740
Guru Dronacharya,yellow,1260
Sikandarpur,"yellow,rapid",2160
MG Road,yellow,1140
IFFCO Chowk,yellow,1740
Huda City Centre,yellow,110
Noida Electronic City,blue,143
Noida Sector 62,blue,960
Noida Sector 59,blue,1140
Noida Sector 61,blue,1260
Noida Sector 52,"blue,aqua",1620
Noida Sector 34,blue,1080
Noida City Centre,blue,1500
Golf Course,blue,1380
